marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"Bean (Red Kidney) (IgG)","bean-red-kidney-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","412","TEMPLATE-FAMILY","Measures IgG antibodies to Bean (Red Kidney) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bean (Red Kidney).","","",""
"Bean (White Haricot) (IgG)","bean-white-haricot-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","418","TEMPLATE-FAMILY","Measures IgG antibodies to Bean (White Haricot) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bean (White Haricot).","","",""
"Beef (IgG)","beef-igg","","SENSITIVITY","Signature","Food Sensitivity: Meat","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Beef in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Beef.","","",""
"Beetroot (IgG)","beetroot-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Beetroot in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Beetroot.","","",""
"Beta hCG","beta-hcg","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","198","","The beta subunit of human chorionic gonadotrophin, the hormone produced by the placenta during pregnancy. Outside pregnancy it is used as a tumour marker for certain germ cell and placental tumours.","","",""
"Beta-Lactoglobulin (IgG)","beta-lactoglobulin-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","414","TEMPLATE-FAMILY","Measures IgG antibodies to Beta-Lactoglobulin in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Beta-Lactoglobulin.","","",""
"Bicarbonate","bicarbonate","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","145","","A dissolved salt that acts as the blood’s main buffer, holding its acidity within a narrow band. It is measured alongside the other electrolytes.","","",""
"Bile Acids","bile-acids","","MEASURED","Insight 360; Signature","Liver Health","","","DRAFT","","213","","Acids the liver makes from cholesterol and releases into the gut to help digest fat, most of which is then reabsorbed. Measuring them in blood is used as an indicator of how the liver is handling that circulation.","","",""
"Bilirubin (urine)","bilirubin-urine","","MEASURED","Insight 360; Signature","Urinalysis","","","DRAFT","","167","","A urine dipstick reading for bilirubin, the pigment formed when red blood cells are broken down. It is a screening reading on a colour scale rather than a measurement.","","",""
"Bitter Taste Perception","bitter-taste-perception","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","205","","Relates to variants in the TAS2R38 taste receptor gene, which affect how strongly certain bitter compounds are tasted. It is one of the better established links between a single gene and an everyday trait.","","",""
"Blackberry (IgG)","blackberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Blackberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Blackberry.","","",""
"Blackcurrant (IgG)","blackcurrant-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Blackcurrant in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Blackcurrant.","","",""
"Blueberry (IgG)","blueberry-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Blueberry in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Blueberry.","","",""
"Body Composition Analyser","body-composition-analyser","","QUALITATIVE","Insight 360; Signature","Personal Health Measurements","","","DRAFT","","252","","A reading taken at your appointment from a body composition device, which passes a small electrical current through the body to estimate the proportions of fat, muscle and water. Readings from these devices vary with hydration and with the time of day.","","",""
"Brazil Nut (IgG)","brazil-nut-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","398","TEMPLATE-FAMILY","Measures IgG antibodies to Brazil Nut in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Brazil Nut.","","",""
"Broccoli (IgG)","broccoli-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Broccoli in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Broccoli.","","",""
"Brussels Sprouts (IgG)","brussels-sprouts-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","410","TEMPLATE-FAMILY","Measures IgG antibodies to Brussels Sprouts in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Brussels Sprouts.","","",""
"Buckwheat (IgG)","buckwheat-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Buckwheat in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Buckwheat.","","",""
"Butyric acid producing bacteria","butyric-acid-producing-bacteria","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","232","TEMPLATED","The share of your gut microbiome made up of bacteria that produce butyrate, a short chain fatty acid the cells lining the colon use as fuel. It is a proportion rather than a count, and no reference range has been established for it.","","",""
"C-Peptide","c-peptide","","MEASURED","Insight 360; Signature","Metabolic Syndrome; Diabetes Health","","","DRAFT","","216","","A fragment the pancreas releases in equal amount to insulin whenever it makes some. Because it lasts longer in the blood than insulin does, it is used as an indicator of how much insulin the body is producing itself.","","",""
"CEA","cea","","MEASURED","Signature; Insight 360","Tumour Markers","","","DRAFT","","231","","Carcinoembryonic antigen, present in high amounts before birth and in small amounts in adults. It is used as a tumour marker chiefly to follow bowel cancer that has already been diagnosed, and it is also higher in people who smoke.","","",""
"CRP (C-Reactive Protein)","crp","","MEASURED","Core; Insight 360; Signature","Infection & Inflammation","","","DRAFT","","316","","A protein made by the liver that rises quickly when there is inflammation or infection in the body.","Can reflect an infection, an injury or an inflammatory condition. It rises and falls quickly.","","A recent cold or injury can raise this temporarily, so an isolated raised result is often best repeated once you are well."
"Cabbage (Red) (IgG)","cabbage-red-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","404","TEMPLATE-FAMILY","Measures IgG antibodies to Cabbage (Red) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cabbage (Red).","","",""
"Cabbage (Savoy/White) (IgG)","cabbage-savoy-white-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","420","TEMPLATE-FAMILY","Measures IgG antibodies to Cabbage (Savoy/White) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Cabbage (Savoy/White).","","",""
"Caffeine Metabolism","caffeine-metabolism","","GENETIC","Signature","Health & Wellbeing","","","DRAFT","","196","","Relates to variants in CYP1A2 and ADORA2A, associated with how quickly caffeine is cleared and how strongly its effects are felt. It describes an inherited tendency and is not a limit of any kind.","","",""
"Calcitonin","calcitonin","","MEASURED","Insight 360; Signature","Thyroid Health","","","DRAFT","","171","","A hormone made by particular cells in the thyroid gland, with a minor role in calcium handling. It is measured chiefly as a marker for one uncommon type of thyroid tumour.","","",""
"Calcium","calcium","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Kidney Health; Nutritional Health; Bone Health","","","DRAFT","","252","CROSS-REFERENCES(Vitamin D)","A mineral essential for bone health, muscle function, and nerve signalling.","Can reflect parathyroid or bone conditions.","Can reflect vitamin D deficiency or parathyroid conditions.","Dairy, fortified plant milks, and leafy greens are good dietary sources."
"Calcium Deficiency Risk","calcium-deficiency-risk","","GENETIC","Signature","Diet & Nutrition","","","DRAFT","","182","TEMPLATED","Relates to inherited variation in genes involved in calcium handling and vitamin D metabolism. It describes a tendency and is not a measurement of the calcium in your blood or bones.","","",""
"Calprotectin","calprotectin","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Advanced GP3 (Male); Signature; Advanced GP3 (Female); RP3 Metabolic Syndrome; RP10 Heart Health; HSC14 Fertility; Insight 360; Core","Digestive & Bowel Health","","","DRAFT","","230","","A marker of inflammation specifically within the gut, usually measured from a stool sample.","Can indicate gut inflammation and may warrant further investigation.","","Best interpreted alongside your wider digestive symptoms and history."
"Camomile (IgG)","camomile-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Camomile in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Camomile.","","",""
"Cancer Antigen 125 (CA 125)","ca-125","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","240","","Cancer antigen 125, a protein used chiefly in the assessment and follow-up of ovarian cancer. It also rises with menstruation, endometriosis, fibroids and other non-cancerous conditions, which is why it is not used for screening on its own.","","",""
